Instrument,Date,Operating Profit before Non-Recurring Income/Expense
DK0010256197,2003-12-31T00:00:00Z,5350238.098
DK0010256197,2004-12-31T00:00:00Z,-193693851.8
DK0010256197,2005-12-31T00:00:00Z,-161820082.6
DK0010256197,2006-12-31T00:00:00Z,10482458.76
DK0010256197,2007-12-31T00:00:00Z,-193543837.2
DK0010256197,2008-12-31T00:00:00Z,-195952602.2
DK0010256197,2009-12-31T00:00:00Z,-173104066.2
DK0010256197,2010-12-31T00:00:00Z,14564150.36
DK0010256197,2011-12-31T00:00:00Z,23087505.55
DK0010256197,2012-12-31T00:00:00Z,19700923.86
DK0010256197,2013-12-31T00:00:00Z,26581886.12
DK0010256197,2014-12-31T00:00:00Z,30636155.2
DK0010256197,2015-12-31T00:00:00Z,36872299.68
DK0010256197,2016-12-31T00:00:00Z,35159819.86
DK0010256197,2017-12-31T00:00:00Z,34553725.2
DK0010256197,2018-12-31T00:00:00Z,33984079.87
DK0010256197,2019-12-31T00:00:00Z,37515124.29
DK0010256197,2020-12-31T00:00:00Z,66997928.15
DK0010256197,2021-12-31T00:00:00Z,36716742.61
DK0010256197,2022-12-31T00:00:00Z,33641720.86
DK0010010438,,
DK0010170042,2000-12-31T00:00:00Z,-295187753.6
DK0010170042,2001-12-31T00:00:00Z,-1708307.696
DK0010170042,2002-12-31T00:00:00Z,-229600474
DK0010170042,2003-12-31T00:00:00Z,11758634.4
DK0010170042,2004-12-31T00:00:00Z,2805826.762
DK0010170042,2005-12-31T00:00:00Z,-6271614.354
DK0010170042,2006-12-31T00:00:00Z,4882264.151
DK0010170042,2007-12-31T00:00:00Z,6189942.047
DK0010170042,2008-12-31T00:00:00Z,841431.9193
DK0010170042,2009-12-31T00:00:00Z,-11728549.85
DK0010170042,2010-12-31T00:00:00Z,-2623151.439
DK0010170042,2011-12-31T00:00:00Z,3215612.817
DK0010170042,2012-12-31T00:00:00Z,2033169.905
DK0010170042,2013-12-31T00:00:00Z,-111886.2231
DK0010170042,2014-12-31T00:00:00Z,1379785.419
DK0010170042,2015-12-31T00:00:00Z,2412999.507
DK0010170042,2016-12-31T00:00:00Z,2439779.297
DK0010170042,2017-12-31T00:00:00Z,3075038.42
DK0010170042,2018-12-31T00:00:00Z,2387916.325
DK0010170042,2019-12-31T00:00:00Z,2699679.508
DK0010170042,2020-12-31T00:00:00Z,2323789.593
DK0010170042,2021-12-31T00:00:00Z,3233077.816
DK0010170042,2022-12-31T00:00:00Z,4368749.284
DK0010233816,2000-12-31T00:00:00Z,46254786.35
DK0010233816,2001-12-31T00:00:00Z,53480988.21
DK0010233816,2002-12-31T00:00:00Z,40346946.67
DK0010233816,2003-12-31T00:00:00Z,46465217.38
DK0010233816,2004-12-31T00:00:00Z,114974182.1
DK0010233816,2005-12-31T00:00:00Z,79803000.77
DK0010233816,2006-12-31T00:00:00Z,1201438.078
DK0010233816,2007-12-31T00:00:00Z,36474748.02
DK0010233816,2008-12-31T00:00:00Z,101654408.4
DK0010233816,2009-12-31T00:00:00Z,2110033.655
DK0010233816,2010-12-31T00:00:00Z,38335624.67
DK0010233816,2011-12-31T00:00:00Z,59447989.99
DK0010233816,2012-12-31T00:00:00Z,84037919.83
DK0010233816,2013-12-31T00:00:00Z,-2973714.888
DK0010233816,2014-12-31T00:00:00Z,-8728541.809
DK0010233816,2015-12-31T00:00:00Z,-4193200.685
DK0010233816,2015-12-31T00:00:00Z,-4193200.685
DK0010233816,2016-12-01T00:00:00Z,-489122.7497
DK0010233816,2017-12-01T00:00:00Z,-53276.04163
DK0010233816,2018-12-01T00:00:00Z,-43562.80377
DK0010025899,,
DK0010245661,2000-12-31T00:00:00Z,15900846.34
DK0010245661,2001-12-31T00:00:00Z,15034021.84
DK0010245661,2002-12-31T00:00:00Z,13158581.43
DK0010245661,2003-12-31T00:00:00Z,16648386.19
DK0010245661,2004-12-31T00:00:00Z,34737971.42
DK0010245661,2005-12-31T00:00:00Z,28375161.51
DK0010245661,2006-12-31T00:00:00Z,37553155.7
DK0010245661,2007-12-31T00:00:00Z,20375486.69
DK0010245661,2008-12-31T00:00:00Z,-13086792.22
DK0010245661,2009-12-31T00:00:00Z,-34606949.92
DK0010245661,2010-12-31T00:00:00Z,6814132.774
DK0010245661,2011-12-31T00:00:00Z,17178973.56
DK0010245661,2012-12-31T00:00:00Z,19134781.52
DK0010245661,2013-12-31T00:00:00Z,16371555.62
DK0010245661,2014-12-31T00:00:00Z,13290637.8
DK0010245661,2015-12-31T00:00:00Z,10274822.82
DK0010245661,2016-12-31T00:00:00Z,13606775.95
DK0010245661,2017-12-31T00:00:00Z,12755399.77
DK0010245661,2018-12-31T00:00:00Z,13530258.37
DK0010245661,2019-12-31T00:00:00Z,-8621581.321
DK0010245661,2020-12-31T00:00:00Z,-3048145.337
DK0010245661,2021-12-31T00:00:00Z,6379295.401
DK0060448595,2001-09-30T00:00:00Z,79990173.05
DK0060448595,2002-09-30T00:00:00Z,114663582.8
DK0060448595,2003-09-30T00:00:00Z,-180627193.9
DK0060448595,2004-09-30T00:00:00Z,-220874978.1
DK0060448595,2005-09-30T00:00:00Z,-242194990
DK0060448595,2006-09-30T00:00:00Z,-288593637.7
DK0060448595,2007-09-30T00:00:00Z,-383719425.6
DK0060448595,2008-09-30T00:00:00Z,-466147244.7
DK0060448595,2009-09-30T00:00:00Z,-407910013.4
DK0060448595,2010-09-30T00:00:00Z,-294399075.3
DK0060448595,2011-09-30T00:00:00Z,483263046
DK0060448595,2012-09-30T00:00:00Z,568442714.7
DK0060448595,2013-09-30T00:00:00Z,646293485
DK0060448595,2014-09-30T00:00:00Z,754568843.9
DK0060448595,2015-09-30T00:00:00Z,699003783.2
DK0060448595,2016-09-30T00:00:00Z,722637377.2
DK0060448595,2017-09-30T00:00:00Z,746578935.4
DK0060448595,2018-09-30T00:00:00Z,813518722.2
DK0060448595,2019-09-30T00:00:00Z,839596803.5
DK0060448595,2020-09-30T00:00:00Z,878952796.3
DK0060448595,2021-09-30T00:00:00Z,1021373470
DK0060448595,2022-09-30T00:00:00Z,1007413345
DK0010272632,2000-12-31T00:00:00Z,83469335.19
DK0010272632,2001-12-31T00:00:00Z,-6615287.143
DK0010272632,2002-12-31T00:00:00Z,-187714118.7
DK0010272632,2003-12-31T00:00:00Z,84292925.02
DK0010272632,2004-12-31T00:00:00Z,98494067.77
DK0010272632,2005-12-31T00:00:00Z,51634041.22
DK0010272632,2006-12-31T00:00:00Z,28144222.06
DK0010272632,2007-12-31T00:00:00Z,47861325.53
DK0010272632,2008-12-31T00:00:00Z,35914777.04
DK0010272632,2009-12-31T00:00:00Z,19296232.49
DK0010272632,2010-12-31T00:00:00Z,97688548.34
DK0010272632,2011-12-31T00:00:00Z,157780199.9
DK0010272632,2012-12-31T00:00:00Z,140844324.1
DK0010272632,2013-12-31T00:00:00Z,221100004.6
DK0010272632,2014-12-31T00:00:00Z,214756061.7
DK0010272632,2015-12-31T00:00:00Z,195004895.4
DK0010272632,2016-12-31T00:00:00Z,219432956.1
DK0010272632,2017-12-31T00:00:00Z,243122077
DK0010272632,2018-12-31T00:00:00Z,287716032.8
DK0010272632,2019-12-31T00:00:00Z,320273003.5
DK0010272632,2020-12-31T00:00:00Z,273720387.8
DK0010272632,2021-12-31T00:00:00Z,389121111
DK0010272632,2022-12-31T00:00:00Z,254118935.7
DK0015216675,2000-12-31T00:00:00Z,1954149.844
DK0015216675,2001-12-31T00:00:00Z,-2586817.829
DK0015216675,2002-12-31T00:00:00Z,-1253507.511
DK0015216675,2003-12-31T00:00:00Z,1117148.006
DK0015216675,2004-12-31T00:00:00Z,-1973058.583
DK0015216675,2005-12-31T00:00:00Z,0
DK0015216675,2006-12-31T00:00:00Z,-750176.7671
DK0015216675,2007-12-31T00:00:00Z,21260585.28
DK0015216675,2008-12-31T00:00:00Z,33692803.53
DK0015216675,2009-12-31T00:00:00Z,11228164.09
DK0015216675,2010-12-31T00:00:00Z,8482271.324
DK0015216675,2011-12-31T00:00:00Z,9792227.004
DK0015216675,2012-12-31T00:00:00Z,10804822.13
DK0015216675,2013-12-31T00:00:00Z,9684697.434
DK0015216675,2014-12-31T00:00:00Z,3462863.026
DK0015216675,2015-12-31T00:00:00Z,285301.1245
DK0015216675,2016-12-31T00:00:00Z,-66602.95686
