Instrument,Total Assets,Date
DK0010267046,1708418449.62907,2018-12-31T00:00:00Z
DK0010267046,1777844491.1438,2019-12-31T00:00:00Z
DK0010267046,2784945177.59832,2020-12-31T00:00:00Z
DK0010267046,2606222765.84359,2021-12-31T00:00:00Z
DK0010287663,1261290974.80223,2000-12-31T00:00:00Z
DK0010287663,772426602.756137,2001-12-31T00:00:00Z
DK0010287663,711941839.577944,2002-12-31T00:00:00Z
DK0010287663,787718557.310586,2003-12-31T00:00:00Z
DK0010287663,1070590810.42628,2004-12-31T00:00:00Z
DK0010287663,980864815.079482,2005-12-31T00:00:00Z
DK0010287663,1301420072.24308,2006-12-31T00:00:00Z
DK0010287663,1781362568.51997,2007-12-31T00:00:00Z
DK0010287663,1866323521.12411,2008-12-31T00:00:00Z
DK0010287663,1948101679.91226,2009-12-31T00:00:00Z
DK0010287663,2254084233.95928,2010-12-31T00:00:00Z
DK0010287663,2340048755.0061,2011-12-31T00:00:00Z
DK0010287663,2289035956.96489,2012-12-31T00:00:00Z
DK0010287663,2394935682.4297,2013-12-31T00:00:00Z
DK0010287663,2004646855.24884,2014-12-31T00:00:00Z
DK0010287663,1828390221.65268,2015-12-31T00:00:00Z
DK0010287663,1836732548.35997,2016-12-31T00:00:00Z
DK0010287663,2284761459.19555,2017-12-31T00:00:00Z
DK0010287663,2132305716.12075,2018-12-31T00:00:00Z
DK0010287663,2005918884.37997,2019-12-31T00:00:00Z
DK0010287663,2626526624.32829,2020-12-31T00:00:00Z
DK0010287663,2902712411.61358,2021-12-31T00:00:00Z
DK0010287663,2961686643.83562,2022-12-31T00:00:00Z
DK0010052786,,
DK0010155324,,
DK0010234467,2800313392.47353,2000-12-31T00:00:00Z
DK0010234467,2256201318.15458,2001-12-31T00:00:00Z
DK0010234467,2211567021.68286,2002-12-31T00:00:00Z
DK0010234467,1922290734.0147,2003-12-31T00:00:00Z
DK0010234467,1494445761.8153,2004-12-31T00:00:00Z
DK0010234467,1520810506.08991,2005-12-31T00:00:00Z
DK0010234467,2169240031.16368,2006-12-31T00:00:00Z
DK0010234467,3851213782.30227,2007-12-31T00:00:00Z
DK0010234467,3895515939.36092,2008-12-31T00:00:00Z
DK0010234467,4214597725.47963,2009-12-31T00:00:00Z
DK0010234467,4057125417.39973,2010-12-31T00:00:00Z
